"n","T(n)","T(n)/f(n)",,
,,"f(n) = n","f(n) = n^2","f(n) = n^3"
10,1.44,0.144,0.0144,0.00144
20,3.1,0.155,0.00775,0.0003875
30,4.8,0.16,0.0053333333,0.0001777778
40,6.63,0.16575,0.00414375,0.0001035938
50,8.57,0.1714,0.003428,0.00006856
60,10.44,0.174,0.0029,4.83333333333333E-005
"Description:","Linear","Linear/Log?","Non-Zero Constant Asymptote","Zero Constant Asymptote"
